NODE_KEY,PRODUCT_ID,TYPE_CODE,CATEGORY,DESCRIPTION,SUPPLIER_GUID_NODE_KEY,TAX_TARIF_CODE,MEASURE_UNIT,WEIGHT_MEASURE,WEIGHT_UNIT,CURRENCY_CODE,PRICE,WIDTH,DEPTH,HEIGHT,DIM_UNIT
PROD0000000000000000000000000001,PRD-2001,PR,Electronics,Laptop Pro,BP000000000000000000000000000001,10,EA,2.5,KG,USD,1200.0,30,20,2,CM
PROD0000000000000000000000000002,PRD-2002,PR,Hardware,Server Rack,BP000000000000000000000000000002,10,EA,50.0,KG,EUR,5000.0,60,100,200,CM
PROD0000000000000000000000000003,PRD-2003,SV,Consulting,IT Audit,BP000000000000000000000000000003,20,EA,0.0,KG,USD,2500.0,0,0,0,CM
PROD0000000000000000000000000004,PRD-2004,PR,Software,OS License,BP000000000000000000000000000004,15,EA,0.0,KG,EUR,300.0,0,0,0,CM
PROD0000000000000000000000000005,PRD-2005,PR,Hardware,Monitor,BP000000000000000000000000000005,10,EA,5.0,KG,USD,450.0,60,10,40,CM
PROD0000000000000000000000000006,PRD-2006,SV,Training,Agile Coaching,BP000000000000000000000000000006,20,EA,0.0,KG,EUR,1500.0,0,0,0,CM
PROD0000000000000000000000000007,PRD-2007,PR,Electronics,Smartphone,BP000000000000000000000000000007,10,EA,0.2,KG,USD,800.0,7,1,15,CM
PROD0000000000000000000000000008,PRD-2008,PR,Hardware,Keyboard,BP000000000000000000000000000008,10,EA,0.8,KG,EUR,50.0,45,15,3,CM
PROD0000000000000000000000000009,PRD-2009,SV,Consulting,Security Review,BP000000000000000000000000000009,20,EA,0.0,KG,USD,3000.0,0,0,0,CM
PROD0000000000000000000000000010,PRD-20010,PR,Software,Antivirus,BP000000000000000000000000000010,15,EA,0.0,KG,EUR,100.0,0,0,0,CM
