locale,NODE_KEY,DESCRIPTION
en,PROD0000000000000000000000000001,Laptop Pro
en,PROD0000000000000000000000000002,Server Rack
en,PROD0000000000000000000000000003,IT Audit
en,PROD0000000000000000000000000004,OS License
en,PROD0000000000000000000000000005,Monitor
en,PROD0000000000000000000000000006,Agile Coaching
en,PROD0000000000000000000000000007,Smartphone
en,PROD0000000000000000000000000008,Keyboard
en,PROD0000000000000000000000000009,Security Review
en,PROD0000000000000000000000000010,Antivirus
