CURRENCY_code,GROSS_AMOUNT,NET_AMOUNT,TAX_AMOUNT,NODE_KEY,PARENT_KEY_NODE_KEY,PO_ITEM_POS,PRODUCT_GUID_NODE_KEY
USD,1320.00,1200.00,120.00,POI00000000000000000000000000001,PO000000000000000000000000000001,10,PROD0000000000000000000000000001
USD,2750.00,2500.00,250.00,POI00000000000000000000000000002,PO000000000000000000000000000001,20,PROD0000000000000000000000000003
USD,495.00,450.00,45.00,POI00000000000000000000000000003,PO000000000000000000000000000001,30,PROD0000000000000000000000000005
EUR,5500.00,5000.00,500.00,POI00000000000000000000000000004,PO000000000000000000000000000002,10,PROD0000000000000000000000000002
USD,880.00,800.00,80.00,POI00000000000000000000000000005,PO000000000000000000000000000003,10,PROD0000000000000000000000000007
USD,3300.00,3000.00,300.00,POI00000000000000000000000000006,PO000000000000000000000000000003,20,PROD0000000000000000000000000009
EUR,330.00,300.00,30.00,POI00000000000000000000000000007,PO000000000000000000000000000004,10,PROD0000000000000000000000000004
EUR,1650.00,1500.00,150.00,POI00000000000000000000000000008,PO000000000000000000000000000004,20,PROD0000000000000000000000000006
EUR,55.00,50.00,5.00,POI00000000000000000000000000009,PO000000000000000000000000000004,30,PROD0000000000000000000000000008
USD,1320.00,1200.00,120.00,POI00000000000000000000000000010,PO000000000000000000000000000005,10,PROD0000000000000000000000000001
EUR,110.00,100.00,10.00,POI00000000000000000000000000011,PO000000000000000000000000000006,10,PROD0000000000000000000000000010
EUR,330.00,300.00,30.00,POI00000000000000000000000000012,PO000000000000000000000000000006,20,PROD0000000000000000000000000004
USD,495.00,450.00,45.00,POI00000000000000000000000000013,PO000000000000000000000000000007,10,PROD0000000000000000000000000005
USD,880.00,800.00,80.00,POI00000000000000000000000000014,PO000000000000000000000000000007,20,PROD0000000000000000000000000007
EUR,5500.00,5000.00,500.00,POI00000000000000000000000000015,PO000000000000000000000000000008,10,PROD0000000000000000000000000002
USD,3300.00,3000.00,300.00,POI00000000000000000000000000016,PO000000000000000000000000000009,10,PROD0000000000000000000000000009
EUR,55.00,50.00,5.00,POI00000000000000000000000000017,PO000000000000000000000000000010,10,PROD0000000000000000000000000008
EUR,110.00,100.00,10.00,POI00000000000000000000000000018,PO000000000000000000000000000010,20,PROD0000000000000000000000000010
EUR,1650.00,1500.00,150.00,POI00000000000000000000000000019,PO000000000000000000000000000010,30,PROD0000000000000000000000000006
