CURRENCY_code,GROSS_AMOUNT,NET_AMOUNT,TAX_AMOUNT,NODE_KEY,PO_ID,PARTNER_GUID_NODE_KEY,LIFECYCLE_STATUS,OVERALL_STATUS
USD,4565.00,4150.00,415.00,PO000000000000000000000000000001,PO-9001,BP000000000000000000000000000001,N,P
EUR,5500.00,5000.00,500.00,PO000000000000000000000000000002,PO-9002,BP000000000000000000000000000002,I,A
USD,4180.00,3800.00,380.00,PO000000000000000000000000000003,PO-9003,BP000000000000000000000000000003,C,R
EUR,2035.00,1850.00,185.00,PO000000000000000000000000000004,PO-9004,BP000000000000000000000000000004,N,P
USD,1320.00,1200.00,120.00,PO000000000000000000000000000005,PO-9005,BP000000000000000000000000000005,I,A
EUR,440.00,400.00,40.00,PO000000000000000000000000000006,PO-9006,BP000000000000000000000000000006,C,R
USD,1375.00,1250.00,125.00,PO000000000000000000000000000007,PO-9007,BP000000000000000000000000000007,N,P
EUR,5500.00,5000.00,500.00,PO000000000000000000000000000008,PO-9008,BP000000000000000000000000000008,I,A
USD,3300.00,3000.00,300.00,PO000000000000000000000000000009,PO-9009,BP000000000000000000000000000009,C,R
EUR,1815.00,1650.00,165.00,PO000000000000000000000000000010,PO-9010,BP000000000000000000000000000010,N,P
